1st PARACHUTE,Primary,,,,
ABANTUKUQALA,Primary,,,,
ABERFOYLE,Primary,,,,
ACHRIS,Primary,,,,
ADMIRAL TAIT,Primary,,,,
AIJAPO  PRIMARY ,Primary,,,,
AIRFORCE THORNHILL,Primary,,,,
AISLEBY,Primary,,,,
ALABAMA,Primary,,,,
ALAN REDFERN PRY,Primary,,,,
ALASKA,Secondary,,,,
ALASKA,Primary,,,,
ALASKA DOLOMITE,Primary,,,,
ALBANY,Primary,,,,
ALEXANDRA PARK,Primary,,,,
ALFA,Primary,,,,
ALFRED BEIT,Primary,,,,
ALICK DHLULA JUNIOUR,Primary,,,,
ALL SAINTS (WRENINGHAM),Primary,,,,
ALL SOULS,Secondary,,,,
All Souls Mission,,3,10,,
ALLAN WILSON HIGH,Secondary,,,,
Allan Wilson High School,,1,1,,
Alletta Primary School,,8,44,,
ALPHA BRICK,Primary,,,,
ALPHA COLLEGE,Secondary,,,,
ALPHA JUSTIN SECONDARY,Secondary,,,,
ALPHA MPAPA,Secondary,,,,
ALPHA-ALPHA,Secondary,,,,
ALPHABRICK,Secondary,,,,
ALPHA-JOY,Secondary,,,,
Amai Mugabe Junior,Primary,,,,
AMANDAS,Primary,,,,
AMANDLETHU SEC,Secondary,,,,
AMAPONGOGWE,Primary,,,,
AMASWAZI,Primary,,,,
AMAVENE,Primary,,,,
AMAVENI,Primary,,,,
AMAVENI HIGH,Secondary,,,,
Amaveni Primary School,,8,44,,
Amaveni Secondary School,,8,44,,
AMAZON,Primary,,,,
AMAZON PRIVATE ,Primary,,,,
AMAZWIMABILI,Primary,,,,
AMEVA,Secondary,,,,
AMEVA,Primary,,,,
AMHLOPE ,Secondary,,,,
Amhlophe Secondary School,,2,3,,
ANDERSON,Secondary,,,,
ANDERSON,Primary,,,,
ANDERSON,Secondary,,,,
ANDERSON,Primary,,,,
Anderson Primary School (Gweru,,8,43,,
ANGWA,Secondary,,,,
ANNANDALE ,Primary,,,,
APEX BOARD,Primary,,,,
APEX BOARD ,Secondary,,,,
ARANBIRA,Primary,,,,
ARCH MUNAKA,Secondary,,,,
ARCTURUS,Primary,,,,
Arcturus high school,,3,5,,
ARCTURUS MINE,Secondary,,,,
ARDA SISI,Primary,,,,
ARDA SISI,Secondary,,,,
ARDA SISI ROYAL BUCKS,Primary,,,,
ARDBENNIE,Primary,,,,
ARDNO,Primary,,,,
ARIEL,Primary,,,,
ARNOLDINE,Primary,,,,
ARNOLDINE,Secondary,,,,
ARUNDEL HIGH,Secondary,,,,
Arundel School,,1,1,,
ASCOT,Secondary,,,,
Ascot High School (Gweru Distr,,8,43,,
ASHCOTT PRY,Primary,,,,
ASHFORD,Primary,,,,
ASPINDALE PARK,Primary,,,,
ATHENS,Secondary,,,,
ATHERSTONE,Primary,,,,
AUCKLANDS,Primary,,,,
AUDLEY END,Primary,,,,
AVHUNGA,Secondary,,,,
AVILA,Primary,,,,
AVILA,Secondary,,,,
Avilla Mission,,10,61,,
AVOCA,Primary,,,,
AVOCA,Primary,,,,
AVOCA SEC SCHOOL,Secondary,,,,
AVONDALE,Primary,,,,
AVONLEA,Primary,,,,
AVONTUUR,Secondary,,,,
AYRSHIRE,Primary,,,,
B&P Study Centre,,1,2,,
BABAMBENI,Primary,,,,
BADZA,Primary,,,,
BADZA PRIMARY,Primary,,,,
BADZA PRY,Primary,,,,
BADZE,Primary,,,,
BAGUTA,Primary,,,,
BAHLANGENE,Secondary,,,,
BAINES INFANT,Primary,,,,
BAINES JUNIOR,Primary,,,,
Baines Junior,,2,3,,
BAKASA,Primary,,,,
BAKO ,Primary,,,,
BAKWA,Primary,,,,
BAKWA,Secondary,,,,
BALANDA,Primary,,,,
BALULE,Primary,,,,
BAMBA,Primary,,,,
BAMBADZI,Secondary,,,,
BAMBADZI,Primary,,,,
BAMBANANI,Primary,,,,
BAMBANANI,Secondary,,,,
BAMBANANI,Primary,,,,
BAMBANANI,Primary,,,,
BAMBANINGA PRIMARY,Primary,,,,
BAMHARA,Primary,,,,
BANDA,Primary,,,,
BANDANYENJE,Primary,,,,
BANDAWE,Primary,,,,
BANDE,Primary,,,,
Bande Primary School,,8,,,
BANDIMBA  PRY,Primary,,,,
BANGA,Primary,,,,
BANGA,Primary,,,,
BANGA,Primary,,,,
BANGALA,Primary,,,,
BANGARI,Primary,,,,
BANGARI,Secondary,,,,
BANGAUYA,Secondary,,,,
BANGIRA,Primary,,,,
BANGO,Primary,,,,
BANGOMWE PRY,Primary,,,,
BANGURE,Secondary,,,,
BANGURE,Primary,,,,
Bangure Secondary School,,10,55,,
BANGWE,Primary,,,,
BANGWE  PRIMARY,Primary,,,,
BANI ,Primary,,,,
BANKET CATHOLIC,Primary,,,,
BANKET PRIMARY,Primary,,,,
BANZA,Primary,,,,
BANZE,Primary,,,,
BAOBAB,Primary,,,,
BARADZAMWA,Primary,,,,
Baradzanwa Primary School,,8,47,,
BARAHANGA,Primary,,,,
BARAMANZA,Primary,,,,
BARAMASIMBE,Primary,,,,
BARCLEYCHASE,Primary,,,,
BARE,Secondary,,,,
BARE,Primary,,,,
BARE PRIMARY,Primary,,,,
BARHAM GREEN,Primary,,,,
BARING,Primary,,,,
Baring Junior School,,10,59,,
